id,iso2,currency_code,currency_unit_ko,currency_krw_unit,recorded_date
1,US,USD,미국 달러,,
2,JP,JPY,엔,,
3,AT,EUR,유로,,
4,BE,EUR,유로,,
5,HR,EUR,유로,,
6,CY,EUR,유로,,
7,EE,EUR,유로,,
8,FI,EUR,유로,,
9,FR,EUR,유로,,
10,DE,EUR,유로,,
11,GR,EUR,유로,,
12,IE,EUR,유로,,
13,IT,EUR,유로,,
14,LV,EUR,유로,,
15,LT,EUR,유로,,
16,LU,EUR,유로,,
17,MT,EUR,유로,,
18,NL,EUR,유로,,
19,PT,EUR,유로,,
20,SK,EUR,유로,,
21,SI,EUR,유로,,
22,ES,EUR,유로,,
23,CN,CNY,위안 (런민비),,
24,HK,HKD,홍콩 달러,,
25,TH,THB,바트,,
26,TW,TWD,신 타이완 달러 (대만 달러),,
27,PH,PHP,필리핀 페소,,
28,SG,SGD,싱가포르 달러,,
29,AU,AUD,호주 달러,,
30,VN,VND,동,,
31,GB,GBP,파운드 스털링,,
32,CA,CAD,캐나다 달러,,
33,MY,MYR,링깃,,
34,RU,RUB,루블,,
35,ZA,ZAR,랜드,,
36,NO,NOK,노르웨이 크로네,,
37,NZ,NZD,뉴질랜드 달러,,
38,DK,DKK,덴마크 크로네,,
39,MX,MXN,멕시코 페소,,
40,MN,MNT,투그릭,,
41,BH,BHD,바레인 디나르,,
42,BD,BDT,타카,,
43,BR,BRL,헤알,,
44,BN,BND,브루나이 달러 (싱가포르 달러 통용),,
45,SA,SAR,리얄,,
46,LK,LKR,스리랑카 루피,,
47,SE,SEK,스웨덴 크로나,,
48,CH,CHF,스위스 프랑,,
49,AE,AED,디르함,,
50,DZ,DZD,알제리 디나르,,
51,OM,OMR,오만 리알,,
52,JO,JOD,요르단 디나르,,
53,IL,ILS,신 셰켈,,
54,EG,EGP,이집트 파운드,,
55,IN,INR,인도 루피,,
56,ID,IDR,루피아,,
57,CZ,CZK,코루나,,
58,CL,CLP,칠레 페소,,
59,KZ,KZT,텡게,,
60,QA,QAR,리얄,,
61,KE,KES,케냐 실링,,
62,CO,COP,콜롬비아 페소,,
63,KW,KWD,쿠웨이트 디나르,,
64,TZ,TZS,탄자니아 실링,,
65,TR,TRY,리라,,
66,PK,PKR,파키스탄 루피,,
67,PL,PLN,즈워티,,
68,HU,HUF,포린트,,
69,NP,NPR,네팔 루피,,
70,MO,MOP,파타카,,
71,KH,KHR,리엘 (미국 달러 통용),,
72,FJ,FJD,피지 달러,,
73,LY,LYD,리비아 디나르,,
74,RO,RON,레우,,
75,MM,MMK,짯,,
76,ET,ETB,비르,,
77,UZ,UZS,숨,,
78,CA,CAD,캐나다 달러,1071.05,2025-12-18
