id,iso2,title,url,published_at
1,SV,"엘살바도르 가볼 만한 곳, 도시부터 자연까지 정리",https://news.google.com/read/CBMibkFVX3lxTE5MSGEtOTBMSzRFeUhQNGZ0WTNGX0FZVnZ0aWVnb2VrX3lPS1FUWEcyaDhobm4tS3BnUnBoczlRY0d6c0ZDeWo0Wk0tUFZVTy1nclVNZTEwcHliMUFDMXBQa1daOWp3SDQ3SzlSdnpR?hl=ko&gl=KR&ceid=KR%3Ako,2025-07-11 16:00:00+09
2,SV,'살 파먹는 구더기' 인체감염 중남미 거쳐 미국서 발견(종합),https://news.google.com/read/CBMiW0FVX3lxTE1HcWhCemZJTEs5YV8tT1lGQjJEWUttdksyOG1BNkNjYldrbXoyU3BvMW9aeE44ODF3NjI5eFMzaS1MODN5YVdUQTRIeEhHOUF5VGE4TGpQbVl5eDjSAWBBVV95cUxNX3NWNExmM2pjb1BNY1VIVXRkdTQ1THp3Q0tXSWZiWlV3OVhPSi1GdUFrbFYzazZ3bUFrV25QRnN2VkpuYW9iMkg3Z2p6VXIybjNaNmtra2lfLUN1NS1zR3I?hl=ko&gl=KR&ceid=KR%3Ako,2025-08-25 16:00:00+09
3,SV,중남미는 미국의 ‘뒷마당’ 아니다… 중국 이어 러시아도 눈독,https://news.google.com/read/CBMiigFBVV95cUxOZElwMGtZd2NISWxlWnlGbW10SFdSZWhtMVRpSEVFNmoyc1JydE9seWdaYUxJbjhrRGd5bGprMm1JY01qU0dDSE1TcW5QTV9aTUh5RVM1bmc5WlNqR0dXNWFCZ2lnSEdsVFFTWGtNYTEtcTZsdnVHRnNOejVOMThYZVRyYm5ucnpoTkE?hl=ko&gl=KR&ceid=KR%3Ako,2025-03-14 09:37:43+09
4,SM,이탈리아 여행 프롤로그,https://news.google.com/read/CBMiS0FVX3lxTE9iSHNkdF9fU3NpT1Q3ZzVrbi01WWFjT3FiQjY5UzJjbVlhNG80ME1yRUtQbDhUOEV4X1hzSW13VDlaNUhqUnRKVTFUMA?hl=ko&gl=KR&ceid=KR%3Ako,2025-09-06 16:00:00+09
5,SM,‘이탈리아 속 작은 나라’ 산마리노 공화국,https://news.google.com/read/CBMibkFVX3lxTE9GbWpGVGVmejNiY3oxUzVmT0tVVFZtLV9aTV82aGQ5TzVCTlZiSk9feHllZ2toZ0xaMldHOFFCenBxWlB2MVQzSGUwY0wzWUZlbTRETEhLS1pWbld1V1hqV1pkN2pDR1F2SlZuWmhB?hl=ko&gl=KR&ceid=KR%3Ako,2016-11-16 17:00:00+09
6,SM,유럽의 작지만 아름다운 '미소국(美小國)' 여행 떠나 볼까,https://news.google.com/read/CBMiYEFVX3lxTE5DZkNZdHpUZU91enlZeE9KMGpPQVFSazgxMXZrSXNiMkRmRXpxNS1BT2p3SFpYT2I3em81N3Y0UV9Sa2g2N0hDR0hwLXZtU3R3QjF3T0M5NzU2QVZQUmdMNw?hl=ko&gl=KR&ceid=KR%3Ako,2018-01-18 17:00:00+09
7,QA,"여행업계 최고를 가렸다… World Travel Awards 2025, 몰디브·아테네·카타르항공 수상",https://news.google.com/read/CBMiZ0FVX3lxTE8yNkV5SmxycVBQdGVRS0tHdUs0bmFEQXA1UzlHOEVfdGcxWEhxNVRneHR0TkxYY0d1SlZPVkZMcVRYMGNKYVpkWDJDVnFVSzE3TXh4QXNkUFR1Um10VWpwQjBOYWpoSk3SAWtBVV95cUxNZ25iY2xodG9vZVNLcVFZWHh5XzRPNHVsaWhMcHAtZDQxbm1BTG50bGZuZ1h4dVJQTE8xUUl2WHhPcEt0WHg1ajcyZWEzMV90VzJLNnhvZE1iMmtmb3dNNjVlc2psYmc1YmtBSQ?hl=ko&gl=KR&ceid=KR%3Ako,2025-12-17 11:20:12+09
8,QA,"노랑풍선, 유럽•아시아 매력 동시에 느낄 수 있는 '코카서스 3국' 기획전 진행",https://news.google.com/read/CBMickFVX3lxTFB4QW1pdGg1WDBvc0RVOEFvbWFEWk9nN2l3TDlDa0t1X2c0ZnRPckZkRGhkVjZyNjgzdlVWUkU3UkktenVRRHZRMEU0YWlYUGlBR05XTFI4RDdsblF5VkV2QnlNNW5BMjJtcW5ROWloUGxGUQ?hl=ko&gl=KR&ceid=KR%3Ako,2025-12-18 09:26:58+09
9,QA,"동남아시아 경기대회(SEA Games) 직후, 베트남 U23 대표팀은 아시아 U23 선수권 대회 출전을 앞두고 카타르에서 귀중한 선물을 받았습니다.",https://news.google.com/read/CBMirwFBVV95cUxNT0RnenlTTGFza1ctS0ZfVUwydWx4Q3Q1OGlCX1NfUkJVU25YZHVVdkphX2dVREU2dWhyNUx0d1p4eFhucVhGZFUwZHpMS01LT3cyUllwZmRwRVhBM1dqWTRYS2JEZVpVa3o4NWZhXzhyTGVwcUlKeVE0cElQajRFTmprUVk4VFVMdTFqbTI4U01LZVlNNXBpTUNIRXdMbnJBeDZKSTVDQ3N5T3BqSUJr?hl=ko&gl=KR&ceid=KR%3Ako,2025-12-16 20:26:56+09
10,AL,"돈 내거나, 쫓아내거나… 유럽, 1인당 3400만원 ‘이민 거부세’ 신설 - 조선비즈",https://news.google.com/read/CBMingFBVV95cUxQVDhSQ1NyQ2d0c0VieHZNdW9IVGlldk5qM3pRODB6cVdDVnJCd1BPbEhfbVlpeS1OTjNBdGwzQ3h2cnZGYTdDTm55dmx5WHBRN1U4YVhKbEszUVpWd3lHeGw0NmxSV3htWDFYZmN2RVZsZzZoclVMbGtzUlJHMmZMNWNwVVBEZ3FLS2tDUDhnclFDYW5NV1Y2eS1UdWZTd9IBsgFBVV95cUxQeFd2ZXJwemw5YkRhd1lKNDh0Q1RPMFNqNXN3cXphQk0tb1JZWUV5Umdtb0VBRUpKNF9COUx4N1ZJeGFOeFNkSm9xQzBmLXlISTFfekk0cGZRUEExVGtCRFRQRlJKM2lhNjNVaVp3c1NxY2V4dEhIUnJTWmsxdU4zV3BGVzhkRzlkZDFYYktXVTNfMG1NcVBMME5maWh3TzZFd0R2WGJXMHB0STJyRG9ORmt3?hl=ko&gl=KR&ceid=KR%3Ako,2025-12-09 14:53:00+09
11,AL,"유럽연합·유럽환경청, 2025년 유럽 전역 청정해변 1위로 '크로아티아' 선정",https://news.google.com/read/CBMiZ0FVX3lxTE1VNnlMSnI0eG9vc05FZmpWVHlJRHRHcnowdzhLUl85SkpBcjF1ZnNMR0t3V3BkdlpkSUFZWkpkMFZkby1QRGRKRE05Mzg0R0hjbXJDZldWRmtpa1JvYnhDekFLYWh1blk?hl=ko&gl=KR&ceid=KR%3Ako,2025-08-22 16:00:00+09
12,AL,"메디톡스, 알바니아서 '뉴라미스' 2종 품목허가…유럽 공략 속도",https://news.google.com/read/CBMiU0FVX3lxTFBkY3NHTTM4STNaWXROcmZmcDVpTHljSlhrSjdjVzNhbWlaSTlFRW1SSjBneGlqNUFsMExvcVZ2eUhyblBmUTFPbFlkUzZwV1UwLW5Z?hl=ko&gl=KR&ceid=KR%3Ako,2025-12-01 17:00:00+09
13,SO,"소말리아, 대만 여권 소지자 입국 금지…中 ""정당 조치"" 환영",https://news.google.com/read/CBMiW0FVX3lxTE5WdFJxUHJySWp0cHJZSV9aaERNYzZCTnpRbkVpQnNoVU5XY1JtdG9WaFNkUzVNdXRlYVFZMk5wN0lXUzItQkRzdGhkUDgtR3ZISXNHd2F2TGFWa3PSAWBBVV95cUxOcnZkU2F5TW4xY3JaMGRYdzVBTkZZLWxPdmc2b0xDS3NoT3c0TzRDRUJpaTJLVmRxSHdPVEZQOXRHZGdHTWJGcEZxaVotS3RmSFRUX0hJQThPdWtQZHo1NTQ?hl=ko&gl=KR&ceid=KR%3Ako,2025-04-30 16:00:00+09
14,SO,"소말리아, 대만 여권 입국 금지…외교부, 중국이 주도했다고 비난 - VOCO 뉴스 | 글로벌 중국어 즉시 뉴스 정보 네트워크",https://news.google.com/read/CBMifEFVX3lxTE9nQmFvY19Wb3Exam94RlNOYkJHSkpEMlhudkFFRFJNYm5aZF9uYWxmSXZnTDNpMFlLZFFLMk4yOHJNbEkzTENQYVNUR3phYU5SVWlUSHVUdkNiT0xHNU9ZdXRCQy0yWVBJckpKMWMzZ3RWbmJtcGsxbW4tX2s?hl=ko&gl=KR&ceid=KR%3Ako,2025-04-30 16:00:00+09
15,SO,[아프리카는] (28)'해적' '모가디슈' 소말리아 안정될까,https://news.google.com/read/CBMiW0FVX3lxTE1nclJIRnNWckhnczNUNFd3UVdMa3NQN2FISGg2VXgzNEJCTjFVZWJBcVhPakRsS2Z6RnVaVFNKdElnVWF4MVdRNU8temlmeWpYN2c4SHVFQmZXNTTSAWBBVV95cUxOLVJ1cXl5UEVmeVRQWFdmdlBsNzhDXzh6Yk9kZm0wOTlYLWlyekRuYVZSby1KVko1d0ZnalFSaFFJdFZCMmYwaGd4Unc2dEJ4cWRFM0NYWXp2bl9ILXBOblQ?hl=ko&gl=KR&ceid=KR%3Ako,2025-03-24 16:00:00+09
16,ZM,"홈앤쇼핑, 참좋은여행 ‘아프리카 4국 8일’ 패키지 방송...""23일(일) 올해 단 한번 조건!""",https://news.google.com/read/CBMib0FVX3lxTE9SN2VhN0RYTVYwVUFjbWZORF9aRkZOb2RGZTBicm5oMlNCeEZwanRCSWRCbjY2ODRPWW9vU2ZQRF9Nc1FzaGpRU1k1b3RFOHE0dlZoZlhRSTZzWXpwenNPaWFBbTVxQlVmV3pJdTBLcw?hl=ko&gl=KR&ceid=KR%3Ako,2025-11-21 17:00:00+09
