id,iso2,alarm_level,region,updated_at
1,GH,2,전체,2025-12-19 01:53:50.14363+09
2,GA,2,전체,2025-12-19 01:53:50.215307+09
3,GY,2,전체,2025-12-19 01:53:50.300002+09
4,GM,1,전체,2025-12-19 01:53:50.363888+09
5,GT,2,전체,2025-12-19 01:53:50.428814+09
6,GR,1,전체,2025-12-19 01:53:50.779194+09
7,GN,2,전체,2025-12-19 01:53:50.850008+09
8,GW,2,전체,2025-12-19 01:53:50.9239+09
9,NR,1,전체,2025-12-19 01:53:51.151768+09
10,NG,2,일부,2025-12-19 01:53:51.22213+09
12,SS,3,전체,2025-12-19 01:53:51.298175+09
13,NP,1,일부,2025-12-19 01:53:51.495526+09
14,NE,3,일부,2025-12-19 01:53:51.834045+09
16,NI,2,전체,2025-12-19 01:53:51.897968+09
17,DK,1,전체,2025-12-19 01:53:52.397785+09
18,DO,2,전체,2025-12-19 01:53:52.470532+09
19,TL,1,전체,2025-12-19 01:53:52.662971+09
20,LA,1,일부,2025-12-19 01:53:52.725056+09
22,LR,2,전체,2025-12-19 01:53:52.821329+09
23,RU,3,일부,2025-12-19 01:53:52.958756+09
25,LB,4,일부,2025-12-19 01:53:53.020696+09
27,LS,2,전체,2025-12-19 01:53:53.093778+09
28,RO,2,일부,2025-12-19 01:53:53.254842+09
29,RW,2,일부,2025-12-19 01:53:53.401655+09
31,LY,4,전체,2025-12-19 01:53:53.4642+09
32,LT,1,전체,2025-12-19 01:53:53.528647+09
33,LI,1,전체,2025-12-19 01:53:53.591228+09
34,MG,2,전체,2025-12-19 01:53:53.667731+09
35,MH,1,전체,2025-12-19 01:53:53.729655+09
98,AM,1,일부,2025-12-19 01:53:59.601804+09
101,AR,2,전체,2025-12-19 01:53:59.674027+09
102,IS,1,전체,2025-12-19 01:53:59.750517+09
103,HT,4,전체,2025-12-19 01:53:59.82553+09
36,FM,1,전체,2025-12-19 01:53:53.792151+09
37,MO,1,전체,2025-12-19 01:53:53.944287+09
38,MW,1,전체,2025-12-19 01:53:54.00514+09
39,MY,1,일부,2025-12-19 01:53:54.078677+09
42,ML,4,전체,2025-12-19 01:53:54.142505+09
43,MX,2,일부,2025-12-19 01:53:54.547055+09
45,MA,1,일부,2025-12-19 01:53:54.687177+09
48,MR,2,일부,2025-12-19 01:53:54.842911+09
50,MZ,2,일부,2025-12-19 01:53:54.909547+09
52,MV,1,전체,2025-12-19 01:53:55.096315+09
53,MT,1,전체,2025-12-19 01:53:55.162541+09
54,MN,1,전체,2025-12-19 01:53:55.223087+09
55,US,1,일부,2025-12-19 01:53:55.286717+09
56,MM,3,일부,2025-12-19 01:53:55.351928+09
58,VU,2,전체,2025-12-19 01:53:55.41646+09
59,BH,1,전체,2025-12-19 01:53:55.490003+09
60,BD,2,일부,2025-12-19 01:53:55.711367+09
62,BJ,2,일부,2025-12-19 01:53:55.774189+09
64,VE,3,일부,2025-12-19 01:53:55.838181+09
66,VN,1,전체,2025-12-19 01:53:56.049572+09
67,BE,1,전체,2025-12-19 01:53:56.115848+09
68,BY,3,일부,2025-12-19 01:53:56.176569+09
70,BZ,2,전체,2025-12-19 01:53:56.241731+09
71,BA,1,전체,2025-12-19 01:53:56.455784+09
72,BW,2,전체,2025-12-19 01:53:56.518074+09
73,BO,2,일부,2025-12-19 01:53:56.580974+09
75,BI,2,일부,2025-12-19 01:53:56.645233+09
77,BF,3,전체,2025-12-19 01:53:56.707284+09
78,BT,1,전체,2025-12-19 01:53:56.772945+09
79,BR,2,전체,2025-12-19 01:53:57.195296+09
80,SA,2,일부,2025-12-19 01:53:57.567528+09
82,CY,1,일부,2025-12-19 01:53:57.652716+09
85,SM,1,전체,2025-12-19 01:53:57.714571+09
86,ST,1,전체,2025-12-19 01:53:57.782093+09
87,SN,1,일부,2025-12-19 01:53:57.864555+09
88,SO,4,전체,2025-12-19 01:53:58.289556+09
89,SB,2,전체,2025-12-19 01:53:58.36037+09
90,SD,4,전체,2025-12-19 01:53:58.564545+09
91,SR,2,전체,2025-12-19 01:53:58.627771+09
92,LK,1,전체,2025-12-19 01:53:58.69898+09
93,CH,1,전체,2025-12-19 01:53:58.840593+09
94,ES,1,전체,2025-12-19 01:53:58.90056+09
95,SI,1,전체,2025-12-19 01:53:59.028178+09
96,SY,4,전체,2025-12-19 01:53:59.179447+09
97,SL,2,전체,2025-12-19 01:53:59.241233+09
104,AZ,4,일부,2025-12-19 01:53:59.953956+09
107,AF,4,전체,2025-12-19 01:54:00.014374+09
108,AL,1,전체,2025-12-19 01:54:00.277983+09
109,DZ,1,일부,2025-12-19 01:54:00.344679+09
112,AO,2,전체,2025-12-19 01:54:00.417986+09
113,ER,2,일부,2025-12-19 01:54:00.684715+09
115,SZ,1,전체,2025-12-19 01:54:00.748668+09
116,EC,2,일부,2025-12-19 01:54:00.875216+09
118,ET,2,일부,2025-12-19 01:54:00.938469+09
120,GB,1,전체,2025-12-19 01:54:01.074665+09
121,YE,4,전체,2025-12-19 01:54:01.13974+09
122,AT,1,전체,2025-12-19 01:54:01.436843+09
123,JO,1,일부,2025-12-19 01:54:01.562174+09
125,UG,2,전체,2025-12-19 01:54:01.795053+09
126,UA,4,전체,2025-12-19 01:54:02.033777+09
127,IQ,4,전체,2025-12-19 01:54:02.102059+09
128,IR,3,전체,2025-12-19 01:54:02.166893+09
129,IL,3,일부,2025-12-19 01:54:02.472606+09
131,EG,1,일부,2025-12-19 01:54:02.53798+09
134,IT,1,전체,2025-12-19 01:54:02.612617+09
135,IN,3,일부,2025-12-19 01:54:02.674298+09
137,ID,1,일부,2025-12-19 01:54:02.866391+09
139,JP,3,일부,2025-12-19 01:54:02.948967+09
140,JM,2,일부,2025-12-19 01:54:03.023392+09
142,ZM,1,전체,2025-12-19 01:54:03.091746+09
143,GQ,2,전체,2025-12-19 01:54:03.16042+09
144,GE,2,일부,2025-12-19 01:54:03.226317+09
146,CN,1,일부,2025-12-19 01:54:03.292158+09
147,CF,3,전체,2025-12-19 01:54:03.352248+09
148,DJ,2,일부,2025-12-19 01:54:03.523383+09
150,ZW,1,전체,2025-12-19 01:54:03.595319+09
151,TD,3,전체,2025-12-19 01:54:04.011257+09
152,CL,1,일부,2025-12-19 01:54:04.149168+09
154,CM,2,전체,2025-12-19 01:54:04.213034+09
156,KH,2,일부,2025-12-19 01:54:04.957017+09
160,KE,2,일부,2025-12-19 01:54:05.094168+09
162,KM,2,전체,2025-12-19 01:54:05.155911+09
163,XK,2,일부,2025-12-19 01:54:05.231319+09
165,CR,2,전체,2025-12-19 01:54:05.304939+09
166,CI,2,일부,2025-12-19 01:54:05.377724+09
168,CO,3,일부,2025-12-19 01:54:05.442715+09
170,CG,2,전체,2025-12-19 01:54:05.504201+09
171,CD,4,일부,2025-12-19 01:54:05.569842+09
173,CU,1,전체,2025-12-19 01:54:05.64094+09
174,KW,1,일부,2025-12-19 01:54:05.704636+09
176,KI,1,전체,2025-12-19 01:54:05.973822+09
177,TJ,1,일부,2025-12-19 01:54:06.037404+09
179,TZ,3,일부,2025-12-19 01:54:06.100814+09
180,TH,1,일부,2025-12-19 01:54:06.16064+09
183,TG,2,전체,2025-12-19 01:54:06.237339+09
184,TM,1,전체,2025-12-19 01:54:06.364289+09
185,TN,1,일부,2025-12-19 01:54:06.627892+09
188,TR,1,일부,2025-12-19 01:54:06.717936+09
190,TT,2,전체,2025-12-19 01:54:06.785652+09
191,PA,2,일부,2025-12-19 01:54:07.036132+09
193,PY,2,전체,2025-12-19 01:54:07.147516+09
194,PK,2,일부,2025-12-19 01:54:07.281076+09
196,PG,2,일부,2025-12-19 01:54:07.431641+09
198,PE,2,일부,2025-12-19 01:54:07.808983+09
200,PL,1,일부,2025-12-19 01:54:08.262946+09
202,FR,1,전체,2025-12-19 01:54:08.382965+09
203,FJ,1,전체,2025-12-19 01:54:07.749652+09
204,PH,1,일부,2025-12-19 01:54:07.15666+09
208,HK,1,전체,2025-12-19 01:54:07.697675+09
