iso2,currency_code,currency_unit_ko,currency_krw_unit,recorded_date
US,USD,미국 달러,,
JP,JPY,엔,,
AT,EUR,유로,,
BE,EUR,유로,,
HR,EUR,유로,,
CY,EUR,유로,,
EE,EUR,유로,,
FI,EUR,유로,,
FR,EUR,유로,,
DE,EUR,유로,,
GR,EUR,유로,,
IE,EUR,유로,,
IT,EUR,유로,,
LV,EUR,유로,,
LT,EUR,유로,,
LU,EUR,유로,,
MT,EUR,유로,,
NL,EUR,유로,,
PT,EUR,유로,,
SK,EUR,유로,,
SI,EUR,유로,,
ES,EUR,유로,,
CN,CNY,위안 (런민비),,
HK,HKD,홍콩 달러,,
TH,THB,바트,,
TW,TWD,신 타이완 달러 (대만 달러),,
PH,PHP,필리핀 페소,,
SG,SGD,싱가포르 달러,,
AU,AUD,호주 달러,,
VN,VND,동,,
GB,GBP,파운드 스털링,,
CA,CAD,캐나다 달러,,
MY,MYR,링깃,,
RU,RUB,루블,,
ZA,ZAR,랜드,,
NO,NOK,노르웨이 크로네,,
NZ,NZD,뉴질랜드 달러,,
DK,DKK,덴마크 크로네,,
MX,MXN,멕시코 페소,,
MN,MNT,투그릭,,
BH,BHD,바레인 디나르,,
BD,BDT,타카,,
BR,BRL,헤알,,
BN,BND,브루나이 달러 (싱가포르 달러 통용),,
SA,SAR,리얄,,
LK,LKR,스리랑카 루피,,
SE,SEK,스웨덴 크로나,,
CH,CHF,스위스 프랑,,
AE,AED,디르함,,
DZ,DZD,알제리 디나르,,
OM,OMR,오만 리알,,
JO,JOD,요르단 디나르,,
IL,ILS,신 셰켈,,
EG,EGP,이집트 파운드,,
IN,INR,인도 루피,,
ID,IDR,루피아,,
CZ,CZK,코루나,,
CL,CLP,칠레 페소,,
KZ,KZT,텡게,,
QA,QAR,리얄,,
KE,KES,케냐 실링,,
CO,COP,콜롬비아 페소,,
KW,KWD,쿠웨이트 디나르,,
TZ,TZS,탄자니아 실링,,
TR,TRY,리라,,
PK,PKR,파키스탄 루피,,
PL,PLN,즈워티,,
HU,HUF,포린트,,
NP,NPR,네팔 루피,,
MO,MOP,파타카,,
KH,KHR,리엘 (미국 달러 통용),,
FJ,FJD,피지 달러,,
LY,LYD,리비아 디나르,,
RO,RON,레우,,
MM,MMK,짯,,
ET,ETB,비르,,
UZ,UZS,숨,,
