iso2,name_ko
US,미국
JP,일본
AT,오스트리아
BE,벨기에
HR,크로아티아
CY,사이프러스
EE,에스토니아
FI,핀란드
FR,프랑스
DE,독일
GR,그리스
IE,아일랜드
IT,이탈리아
LV,라트비아
LT,리투아니아
LU,룩셈부르크
MT,몰타
NL,네덜란드
PT,포르투갈
SK,슬로바키아
SI,슬로베니아
ES,스페인
CN,중국
HK,홍콩
TH,태국
TW,대만
PH,필리핀
SG,싱가포르
AU,호주
VN,베트남
GB,영국
CA,캐나다
MY,말레이시아
RU,러시아
ZA,남아프리카공화국
NO,노르웨이
NZ,뉴질랜드
DK,덴마크
MX,멕시코
MN,몽골
BH,바레인
BD,방글라데시
BR,브라질
BN,브루나이
SA,사우디아라비아
LK,스리랑카
SE,스웨덴
CH,스위스
AE,아랍에미리트
DZ,알제리
OM,오만
JO,요르단
IL,이스라엘
EG,이집트
IN,인도
ID,인도네시아
CZ,체코
CL,칠레
KZ,카자흐스탄
QA,카타르
KE,케냐
CO,콜롬비아
KW,쿠웨이트
TZ,탄자니아
TR,튀르키예
PK,파키스탄
PL,폴란드
HU,헝가리
NP,네팔
MO,마카오
KH,캄보디아
FJ,피지
LY,리비아
RO,루마니아
MM,미얀마
ET,에티오피아
UZ,우즈베키스탄
